YIL,DÖNEM,BASVURU_TIPI,UYRUK,CINSIYET,PUAN,BASARI_DURUMU,KESIN_KAYIT_DURUMU
2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.84,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.73,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.87,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,59.68,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,18.21,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.2,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.63,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.78,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,182.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,84.1,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.94,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,100.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,4.85,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,100.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ARNAVUTLUK,Kadın,1620.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ÖZBEKİSTAN,Erkek,89.2,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKİYE,Kadın,2.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ALMANYA,Kadın,3.6,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,17.28,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKİYE,Kadın,1980.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,82.2,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Kadın,538.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKİYE,Kadın,2.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Erkek,507.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Erkek,493.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,81.3,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,4.77,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,50.25,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,3.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,81.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,232.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,86.1,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,199.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ALMANYA,Kadın,2.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Erkek,547.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.95,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,3.52,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,4.8,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,MORİTANYA,Erkek,84.17,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.61,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.33,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,65.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,57.4,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Kadın,69.3,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,58.89,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,55.22,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,55.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Kadın,74.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Kadın,66.16,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,43.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,70.28,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Kadın,58.63,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Kadın,66.31,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,55.55,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Kadın,32.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,60.25,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Kadın,68.07,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,82.89,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,60.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,82.91,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Kadın,58.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,84.8,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Enstitu,TÜRKİYE,Erkek,85.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,62.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,30.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,72.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,83.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,62.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,58.89,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,58.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,83.11,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,31.25,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,55.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,73.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,64.79,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,62.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,69.31,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,85.83,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,45.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,58.94,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,83.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Kadın,74.74,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,67.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,60.04,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,58.97,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,55.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,70.48,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,75.13,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,TÜRKİYE,Erkek,77.92,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Bahar,Enstitu,ARNAVUTLUK,Kadın,90.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,15.93,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,220.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ÖZBEKİSTAN,Erkek,68.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,65.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,83.4,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,16.08,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ALMANYA,Kadın,2.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,786.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ALMANYA,Erkek,2.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Kadın,1130.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,86.2,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,73.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.83,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,A.B.D.,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,188.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,UKRAYNA,Kadın,137.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,188.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,77.3,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,208.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,15.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,15.93,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,76.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,58.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ÖZBEKİSTAN,Erkek,68.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,65.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,72.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,83.4,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ALMANYA,Erkek,2.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,KUZEY MAKEDONYA,Erkek,54.91,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Kadın,1130.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,73.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,A.B.D.,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,73.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,188.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,UKRAYNA,Kadın,137.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,77.3,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,208.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,KUZEY KIBRIS TÜRK CUMHURİYETİ,Erkek,4.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,15.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,15.93,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,220.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,17.45,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,IRAK,Erkek,78.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,76.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,58.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ÖZBEKİSTAN,Erkek,68.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,65.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,72.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,83.4,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ALMANYA,Kadın,2.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,786.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,ALMANYA,Erkek,2.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,73.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,A.B.D.,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,73.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,188.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,86.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,188.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,16.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,16.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,290.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,KIRGIZİSTAN,Erkek,1100.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,17.02,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,KUZEY KIBRIS TÜRK CUMHURİYETİ,Kadın,280.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.99,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,AFGANİSTAN,Erkek,308.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,59.68,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.2,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.63,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.78,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,182.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,84.1,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
