BASVURU_ID,YIL,DÖNEM,BASVURU_TIPI,UYRUK,CINSIYET,PUAN,BASARI_DURUMU,KESIN_KAYIT_DURUMU
215,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
219,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
226,2012,Güz,Uluslararası Öğrenci,TÜRKİYE,Kadın,2.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
234,2012,Güz,Uluslararası Öğrenci,ALMANYA,Kadın,3.6,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
238,2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,17.28,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
240,2012,Güz,Uluslararası Öğrenci,TÜRKİYE,Kadın,1980.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
245,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,82.2,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
249,2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Kadın,538.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
251,2012,Güz,Uluslararası Öğrenci,TÜRKİYE,Kadın,2.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
255,2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Erkek,507.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
259,2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Erkek,493.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
261,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,81.3,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
264,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,4.77,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
267,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,50.25,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
273,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,3.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
278,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,81.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
280,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,232.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
286,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,86.1,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
288,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,199.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
290,2012,Güz,Uluslararası Öğrenci,ALMANYA,Kadın,2.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
293,2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Erkek,547.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
299,2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,4.95,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
301,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,3.52,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
304,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,4.8,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
312,2012,Güz,Uluslararası Öğrenci,MORİTANYA,Erkek,84.17,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
319,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.61,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
324,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.33,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
373,2012,Güz,Enstitu,TÜRKİYE,Erkek,65.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
390,2012,Güz,Enstitu,TÜRKİYE,Erkek,57.4,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
397,2012,Güz,Enstitu,TÜRKİYE,Kadın,69.3,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
399,2012,Güz,Enstitu,TÜRKİYE,Erkek,58.89,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
404,2012,Güz,Enstitu,TÜRKİYE,Erkek,55.22,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
406,2012,Güz,Enstitu,TÜRKİYE,Erkek,55.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
413,2012,Güz,Enstitu,TÜRKİYE,Kadın,74.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
419,2012,Güz,Enstitu,TÜRKİYE,Kadın,66.16,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
423,2012,Güz,Enstitu,TÜRKİYE,Erkek,43.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
424,2012,Güz,Enstitu,TÜRKİYE,Erkek,70.28,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
426,2012,Güz,Enstitu,TÜRKİYE,Kadın,58.63,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
431,2012,Güz,Enstitu,TÜRKİYE,Kadın,66.31,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
435,2012,Güz,Enstitu,TÜRKİYE,Erkek,55.55,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
440,2012,Güz,Enstitu,TÜRKİYE,Kadın,32.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
441,2012,Güz,Enstitu,TÜRKİYE,Erkek,60.25,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
445,2012,Güz,Enstitu,TÜRKİYE,Kadın,68.07,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
447,2012,Güz,Enstitu,TÜRKİYE,Erkek,82.89,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
452,2012,Güz,Enstitu,TÜRKİYE,Erkek,60.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
453,2012,Güz,Enstitu,TÜRKİYE,Erkek,82.91,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
455,2012,Güz,Enstitu,TÜRKİYE,Kadın,58.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
462,2012,Güz,Enstitu,TÜRKİYE,Erkek,84.8,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
465,2012,Güz,Enstitu,TÜRKİYE,Erkek,85.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
471,2012,Bahar,Enstitu,TÜRKİYE,Kadın,62.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
479,2012,Bahar,Enstitu,TÜRKİYE,Kadın,30.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
481,2012,Bahar,Enstitu,TÜRKİYE,Erkek,72.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
485,2012,Bahar,Enstitu,TÜRKİYE,Kadın,83.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
487,2012,Bahar,Enstitu,TÜRKİYE,Kadın,62.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
488,2012,Bahar,Enstitu,TÜRKİYE,Kadın,58.89,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
499,2012,Bahar,Enstitu,TÜRKİYE,Erkek,58.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
499,2012,Bahar,Enstitu,TÜRKİYE,Erkek,83.11,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
503,2012,Bahar,Enstitu,TÜRKİYE,Erkek,31.25,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
504,2012,Bahar,Enstitu,TÜRKİYE,Kadın,55.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
506,2012,Bahar,Enstitu,TÜRKİYE,Erkek,73.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
511,2012,Bahar,Enstitu,TÜRKİYE,Erkek,64.79,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
513,2012,Bahar,Enstitu,TÜRKİYE,Kadın,62.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
513,2012,Bahar,Enstitu,TÜRKİYE,Kadın,69.31,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
515,2012,Bahar,Enstitu,TÜRKİYE,Kadın,85.83,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
520,2012,Bahar,Enstitu,TÜRKİYE,Kadın,45.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
530,2012,Bahar,Enstitu,TÜRKİYE,Kadın,58.94,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
530,2012,Bahar,Enstitu,TÜRKİYE,Kadın,83.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
532,2012,Bahar,Enstitu,TÜRKİYE,Kadın,74.74,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
543,2012,Bahar,Enstitu,TÜRKİYE,Erkek,67.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
545,2012,Bahar,Enstitu,TÜRKİYE,Erkek,60.04,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
547,2012,Bahar,Enstitu,TÜRKİYE,Erkek,58.97,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
548,2012,Bahar,Enstitu,TÜRKİYE,Erkek,55.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
550,2012,Bahar,Enstitu,TÜRKİYE,Erkek,70.48,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
552,2012,Bahar,Enstitu,TÜRKİYE,Erkek,75.13,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
554,2012,Bahar,Enstitu,TÜRKİYE,Erkek,77.92,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
561,2012,Bahar,Enstitu,ARNAVUTLUK,Kadın,90.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
11,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
13,2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,15.93,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
21,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,220.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
32,2012,Güz,Uluslararası Öğrenci,ÖZBEKİSTAN,Erkek,68.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
36,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,65.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
41,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,83.4,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
44,2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,16.08,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
47,2012,Güz,Uluslararası Öğrenci,ALMANYA,Kadın,2.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
50,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,786.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
54,2012,Güz,Uluslararası Öğrenci,ALMANYA,Erkek,2.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
59,2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Kadın,1130.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
61,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,86.2,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
62,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,73.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
71,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.83,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
73,2012,Güz,Uluslararası Öğrenci,A.B.D.,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
81,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,188.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
83,2012,Güz,Uluslararası Öğrenci,UKRAYNA,Kadın,137.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
90,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,188.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
95,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,77.3,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
98,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,208.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
7,2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,15.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
10,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
14,2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,15.93,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
27,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,76.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
30,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,58.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
31,2012,Güz,Uluslararası Öğrenci,ÖZBEKİSTAN,Erkek,68.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
34,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,65.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
39,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,72.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
42,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,83.4,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
53,2012,Güz,Uluslararası Öğrenci,ALMANYA,Erkek,2.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
56,2012,Güz,Uluslararası Öğrenci,KUZEY MAKEDONYA,Erkek,54.91,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
60,2012,Güz,Uluslararası Öğrenci,AZERBAYCAN,Kadın,1130.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
63,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,73.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
74,2012,Güz,Uluslararası Öğrenci,A.B.D.,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
76,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,73.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
80,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,188.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
84,2012,Güz,Uluslararası Öğrenci,UKRAYNA,Kadın,137.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
89,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
96,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,77.3,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
97,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,208.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
5,2012,Güz,Uluslararası Öğrenci,KUZEY KIBRIS TÜRK CUMHURİYETİ,Erkek,4.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
8,2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,15.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
15,2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,15.93,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
19,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,220.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
23,2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,17.45,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
24,2012,Güz,Uluslararası Öğrenci,IRAK,Erkek,78.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
25,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,76.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
29,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,58.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
33,2012,Güz,Uluslararası Öğrenci,ÖZBEKİSTAN,Erkek,68.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
35,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Kadın,65.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
38,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,72.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
43,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,83.4,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
48,2012,Güz,Uluslararası Öğrenci,ALMANYA,Kadın,2.5,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
52,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,786.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
55,2012,Güz,Uluslararası Öğrenci,ALMANYA,Erkek,2.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
64,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,73.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
75,2012,Güz,Uluslararası Öğrenci,A.B.D.,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
77,2012,Güz,Uluslararası Öğrenci,FİLİSTİN,Erkek,73.7,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
79,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,188.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
87,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,86.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
92,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,188.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
93,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.75,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
101,2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,16.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
104,2012,Güz,Uluslararası Öğrenci,İRAN,Kadın,16.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
107,2012,Güz,Uluslararası Öğrenci,SURİYE,Erkek,290.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
114,2012,Güz,Uluslararası Öğrenci,KIRGIZİSTAN,Erkek,1100.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
116,2012,Güz,Uluslararası Öğrenci,İRAN,Erkek,17.02,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
119,2012,Güz,Uluslararası Öğrenci,TACİKİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
123,2012,Güz,Uluslararası Öğrenci,KUZEY KIBRIS TÜRK CUMHURİYETİ,Kadın,280.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
132,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.99,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
140,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,4.9,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
142,2012,Güz,Uluslararası Öğrenci,AFGANİSTAN,Erkek,308.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
152,2012,Güz,Uluslararası Öğrenci,TÜRKMENİSTAN,Erkek,5.0,DEGERLENDIRILMEDI,KESIN KAYIT YAPMADI
